ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1272,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Nine Lessons from the Little Crooked House,,,,,,CROOKED,2015,Nokar Miuty E.,,,,,,,,MACIMISE,,3,English,eng,,,Chuuk,Chuuk State,,,,,,,Additional materials for The Little Crooked House (2015).,,,Y,MACIMISE book - Lee Lesley 2015 The Little Crooked House - additional materials - Nokar Miuty E. 2015 Nine Lessons from the Little Crooked House,MACIMISE book - Lee Lesley 2015 The Little Crooked House - additional materials - Nokar Miuty E. 2015 Nine Lessons from the Little Crooked House,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1273,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,Exploration of the implementation of traditional Pohnpeian counting system in Grade one dissertation,,,,,,,2014,"Daniel, Deeleeann",,,,,,,,MACIMISE,,75,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,,,,Y,MACIMISE dissertation - Daniel Deeleeann 2014 Exploration of the implementation of traditional Pohnpeian counting system in Grade One,MACIMISE dissertation - Daniel Deeleeann 2014 Exploration of the implementation of traditional Pohnpeian counting system in Grade One,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1274,Knowledge expansion,Science and mathematics,Academic research,Research theses,Instructional strategies,,MACIMISE project,PhD dissertation,A community approach to introducing young children to early mathematics,,,,,,,2014,"Waguk, Tulensru",,,,,,,,MACIMISE,,88,English,eng,,,Kosrae,Kosrae State,,,,,,,,,,Y,MACIMISE dissertation - Waguk Tulensru 2014 A community approach to introducing young children to early mathematics,MACIMISE dissertation - Waguk Tulensru 2014 A community approach to introducing young children to early mathematics,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1275,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Counting and the Samoan Salulima hand held broom,,,,,,,2015,"Fale, Tauvela|Tauiliili, Paul A",,,,,,,,MACIMISE,,12,English,eng,,,,,,,,,,,,,,Y,MACIMISE lesson plan - Grade 1 - Sāmoa - Fale and Tauiliili - Counting and the Samoan Salulima hand held broom,MACIMISE lesson plan - Grade 1 - Sāmoa - Fale and Tauiliili - Counting and the Samoan Salulima hand held broom,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1276,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Learning about fractions from woven mats in Kosrae,,,,,,,2015,"Velasquez, Rhoda",,,,,,,,MACIMISE,,9,English,eng,Kosraean,kos,Kosrae,Kosrae State,,,,,,,,,,Y,MACIMISE lesson plan - Grade 4 - Kosrae - Velasquez - Learning about fractions from woven mats in Kosrae,MACIMISE lesson plan - Grade 4 - Kosrae - Velasquez - Learning about fractions from woven mats in Kosrae,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1277,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Measurement in the Jaki woven mat of the Marshall Islands,,,,,,,2015,"Langidrik, Alex",,,,,,,,MACIMISE,,11,English,eng,,,,Marshall Islands,,,,,,,,,,Y,MACIMISE lesson plan - Grade 4 - Marshall Islands - Langidrik - Measurement in the Jaki woven mat of the Marshall Islands,MACIMISE lesson plan - Grade 4 - Marshall Islands - Langidrik - Measurement in the Jaki woven mat of the Marshall Islands,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1278,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Patterns Counting and Measures in Marshallese Bead Necklaces,,,,,,,2015,"Term, Sweeny",,,,,,,,MACIMISE,,8,English,eng,,,,Marshall Islands,,,,,,,,,,Y,MACIMISE lesson plan - Grade 4 - Marshall Islands - Term Sweeny - Patterns Counting and Measures in Marshallese Bead Necklaces,MACIMISE lesson plan - Grade 4 - Marshall Islands - Term Sweeny - Patterns Counting and Measures in Marshallese Bead Necklaces,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1279,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Measuring and Modeling the Nahs traditional feast house in Pohnpei,,,,,,,2015,"Liwy, Tendy T.",,,,,,,,MACIMISE,,10,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,,,,Y,MACIMISE lesson plan - Grade 4 - Pohnpei - Liwy - Measuring and Modeling the Nahs traditional feast house in Pohnpei,MACIMISE lesson plan - Grade 4 - Pohnpei - Liwy - Measuring and Modeling the Nahs traditional feast house in Pohnpei,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1280,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Mathematics in Local House Building in the Yap Outer Islands,,,,,,,2015,"Hachibmai, Callistus",,,,,,,,MACIMISE,,14,English,eng,Woleaian,woe,,Yap State,,,,,,,,,,Y,MACIMISE lesson plan - Grade 4 - Yap - Hachibmai - Mathematics in Local House Building in the Yap Outer Islands,MACIMISE lesson plan - Grade 4 - Yap - Hachibmai - Mathematics in Local House Building in the Yap Outer Islands,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1281,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Nine Lessons from the Little Crooked House [Lee Lesley 2015 The Little Crooked House],,,,,,CROOKED,2015,Nokar Miuty E.,,,,,,,,MACIMISE,,114,English,eng,Chuukese,chk,Chuuk,Chuuk State,,,,,,,,,,Y,MACIMISE lesson plan - Grade 7 - Chuuk - Nokar - Nine Lessons from the Little Crooked House [Lee Lesley 2015 The Little Crooked House],MACIMISE lesson plan - Grade 7 - Chuuk - Nokar - Nine Lessons from the Little Crooked House [Lee Lesley 2015 The Little Crooked House],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1282,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Culture and Mathematics in Nan Madol,,,,,,,2015,"Etse, Stanley",,,,,,,,MACIMISE,,8,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,,,,Y,MACIMISE lesson plan - Grade 7 - Pohnpei - Etse - Culture and Mathematics in Nan Madol,MACIMISE lesson plan - Grade 7 - Pohnpei - Etse - Culture and Mathematics in Nan Madol,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1283,Educator support,Science and mathematics,Teacher support,Lesson plans and classroom activities,Ethnomathematics,,MACIMISE project,Lesson plans,Geometry in Samoan Tapa and Tattoo Designs,,,,,,,2015,"Fale, Tauvela|Tauiliili, Paul A",,,,,,,,MACIMISE,,9,English,eng,,,,,,,,,,,,,,Y,MACIMISE lesson plan - Grade 7 - Sāmoa - Fale and Tauiliili - Geometry in Samoan Tapa and Tattoo Designs,MACIMISE lesson plan - Grade 7 - Sāmoa - Fale and Tauiliili - Geometry in Samoan Tapa and Tattoo Designs,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1284,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,The teachers perceptions of teaching culturally-based mathematics curriculum units,,,,,,,2014,"Velasquez, Rhoda",,,,,,,,MACIMISE,,175,English,eng,,,,,,,,,,,,,,Y,MACIMISE dissertation - Velasquez Rhoda 2014 The teachers perceptions of teaching culturally-based mathematics curriculum units,MACIMISE dissertation - Velasquez Rhoda 2014 The teachers perceptions of teaching culturally-based mathematics curriculum units,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1285,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,"A study of culturally-based mathematics lessons in American Samoa and their influences on self, teachers and evolving perspectives of ethnomathematics as a field",,,,,,,2014,"Tauiliili, Paul Apitoloula",,,,,,,,MACIMISE,,150,English,eng,,,,,,,,,,,,,,Y,"MACIMISE dissertation - Tauiliili Paul Apitoloula 2015 A study of culturally-based mathematics lessons in American Samoa and their influences on self, teachers and evolving perspectives of ethnomathematics as a field","MACIMISE dissertation - Tauiliili Paul Apitoloula 2015 A study of culturally-based mathematics lessons in American Samoa and their influences on self, teachers and evolving perspectives of ethnomathematics as a field",Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1286,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,Selective use of culturally based mathematics in a preservice teachers course at the College of Micronesia-FSM Chuuk campus,,,,,,,2014,"Mamangon, Danilo M.",,,,,,,,MACIMISE,,181,English,eng,,,,,,,,,,,,,,Y,MACIMISE dissertation - Mamangon Danilo 2014 Selective use of culturally based mathematics in a preservice teachers course at the College of Micronesia-FSM Chuuk campus,MACIMISE dissertation - Mamangon Danilo 2014 Selective use of culturally based mathematics in a preservice teachers course at the College of Micronesia-FSM Chuuk campus,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1287,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,Case studies of teachers collaborating to implement a culturally relevant problem-solving rich mathematics unit in four classrooms in the Commonwealth of the Northern Mariana Islands,,,,,,,2015,"Borja Miura, Dora",,,,,,,,MACIMISE,,128,English,eng,,,,,,,,,,,,,,Y,MACIMISE dissertation - Miura Dora Borja 2014 Case studies of teachers collaborating to implement a culturally relevant problem-solving rich mathematics unit in four classrooms in the Commonwealth of the Northern Mariana Islands,MACIMISE dissertation - Miura Dora Borja 2014 Case studies of teachers collaborating to implement a culturally relevant problem-solving rich mathematics unit in four classrooms in the Commonwealth of the Northern Mariana Islands,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1288,Knowledge expansion,Science and mathematics,Academic research,Research theses,Ethnomathematics,,MACIMISE project,PhD dissertation,Participants journey in project MACIMISE (Mathematics and Culture in Micronesia – Integrating Societal Experiemces,,,,,,,2014,"Aiona, Andrea",,,,,,,,MACIMISE,,146,English,eng,,,,,,,,,,,,,,Y,MACIMISE dissertation - Andrea Aiona 2014 Participants journey in project MACIMISE (Mathematics and Culture in Micronesia - Integrating Societal Experiemces,MACIMISE dissertation - Andrea Aiona 2014 Participants journey in project MACIMISE (Mathematics and Culture in Micronesia - Integrating Societal Experiemces,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1289,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,Local medicine,MACIMISE project,Research report,Marshallese medicines,,,,,,,2010,"Term, Sweeny",,,,,,,,MACIMISE,,16,English,eng,,,,Marshall Islands,,,,,,,,,,Y,MACIMISE research paper - Term Sweeny 2010 Marshallese medicines,MACIMISE research paper - Term Sweeny 2010 Marshallese medicines,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1290,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,,MACIMISE project,Research report,Mathematics exploration and the Chamorro game of chonka,,,,,,,2010,Camacho Beatriz,,,,,,,,MACIMISE,,13,English,eng,,,,,,,,,,,,,,Y,MACIMISE research paper - Camacho Beatriz 2010 Mathematics exploration and the Chamorro game of chonka,MACIMISE research paper - Camacho Beatriz 2010 Mathematics exploration and the Chamorro game of chonka,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1291,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,Tools and weaving,MACIMISE project,Research report,Using coconut weaving in Guam classrooms to improve the mathematics skills,,,,,,,2010,"Rivera, Matilda Naputi",,,,,,,,MACIMISE,,31,English,eng,,,,,,,,,,,,,,Y,MACIMISE research paper - Rivera Matilda Naputi 2010 - Using coconut weaving in Guam classrooms to improve the mathematics skills,MACIMISE research paper - Rivera Matilda Naputi 2010 - Using coconut weaving in Guam classrooms to improve the mathematics skills,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1292,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,,MACIMISE project,Research report,Shape and form of the Hawaiian gourd,,,,,,,2010,"Aiona, Andrea",,,,,,,,MACIMISE,,62,English,eng,,,,,,,,,,,,,,Y,MACIMISE research paper - Aiona Andrea 2010 Shape and form of the Hawaiian gourd,MACIMISE research paper - Aiona Andrea 2010 Shape and form of the Hawaiian gourd,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1293,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,,MACIMISE project,Research report,The traditional ornamental tehrow ([Chuukese] beadwork necklace),,,,,,,2010,"Bernard, Dionisialynn",,,,,,,,MACIMISE,,8,English,eng,Chuukese,chk,Chuuk,Chuuk State,,,,,,,,,,Y,MACIMISE research paper - Bernard Dionisialynn 2010 The traditional ornamental tehrow ([Chuukese] beadwork necklace),MACIMISE research paper - Bernard Dionisialynn 2010 The traditional ornamental tehrow ([Chuukese] beadwork necklace),Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1294,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,,MACIMISE project,Research report,The Mathematics of Funeral customs in Kosrae,,,,,,,2010,"Velasquez, Rhoda",,,,,,,,MACIMISE,,,English,eng,Kosraean,kos,Kosrae,Kosrae State,,,,,,This is the only product of the MACIMISE program unavailable in the VLA resource library because no electronic or physical copies could be located.,,,,N,,MACIMISE research paper - Velasquez Rhoda 2010 The Mathematics of Funeral customs in Kosrae,,,,,,,,,,,,,,,,,,,,
1295,Educator support,Language arts and culture,Teacher support,Teacher's guides and manuals,Education theory,Bilingual education|Multicultural education,MERC-UOG publications,Teacher’s resource book,The Pohnpeian child – A teacher's resource,"Pwuhk en Serihn Pohnpei – Mehn Sewese Sounpadahk Kan Ong Mehn
Kasukuhl",,,,UOG-CHILD,,1993,"Cantero, Francisco L.","Salas, Marylin C.",Edited by,,,,,,University of Guam,Multicultural Education and Resource Center,43,Pohnpeian,pon,English,eng,,Pohnpei State,,,,,,,,"This is a multicultural education guide produced by the University of Guam to help non-indigenous teachers understand the cultural, social, and linguistic contexts of Yapese children. It combines cultural background, classroom guidance, and extensive English and Yapese language examples to promote culturally responsive teaching and respect for Yapese values and learning styles.",,Y,MERC-UOG - Cantero FL 1993 - The Pohnpeian child - A teacher's resource,MERC-UOG - Cantero FL 1993 - The Pohnpeian child - A teacher's resource,"Digital document encountered online, from an uncertain source.",,,,,,,,,,,,,,,,,,,
1296,Educator support,Language arts and culture,Teacher support,Teacher's guides and manuals,Education theory,Bilingual education|Multicultural education,MERC-UOG publications,Teacher’s resource book,The Yapese child – A teacher's resource,Bitir nu Wa’ab – Fen e Sensey,,,,UOG-CHILD,,1993,"Kadannged, Bernadette Mityay|Gilnifrad, Lukubyad|Egan, James",,,,,,,,University of Guam,Multicultural Education and Resource Center,50,Yapese,yap,English,eng,,Yap State,,,,,,,,"This is a multicultural education guide produced by the University of Guam to help non-indigenous teachers understand the cultural, social, and linguistic contexts of Pohnpeian children. It combines cultural background, classroom guidance, and extensive English and Pohnpeian language examples to promote culturally responsive teaching and respect for Pohnpeian values and learning styles.",,Y,MERC-UOG - Kadannged BM et al 1993 - The Yapese child - A teacher's resource,MERC-UOG - Kadannged BM et al 1993 - The Yapese child - A teacher's resource,"Digital document encountered online, from an uncertain source.",,,,,,,,,,,,,,,,,,,
1297,Educator support,Language arts and culture,Teacher support,Teacher's guides and manuals,Education theory,Bilingual education|Multicultural education,MERC-UOG publications,Teacher’s resource book,The Palauan child – A teacher's resource,Ngalek er A Belau – Ngeso el mo er a Sensei,,,,UOG-CHILD,,1992,"Tkel-Sbal, Debbie S.",,,,,,,,University of Guam,Multicultural Education and Resource Center,45,,,English,eng,,Palau,,,,,,,,"This is a multicultural education guide produced by the University of Guam to help non-indigenous teachers understand the cultural, social, and linguistic contexts of Palauan children. It combines cultural background, classroom guidance, and extensive English and Palauan language examples to promote culturally responsive teaching and respect for Palauan values and learning styles.",,Y,MERC-UOG - Tkel-Sbal 1992 - The Palauan child - A teacher's resource,MERC-UOG - Tkel-Sbal 1992 - The Palauan child - A teacher's resource,PDF created by iREi (2025). Digitized from a hard copy courtesy of the University of Guam Library. Scanning conducted by Koh Ming Wei in Guam in March 2025.,,,,,,,,,,,,,,,,,,,
1298,Educator support,Language arts and culture,Teacher support,Teacher's guides and manuals,Education theory,Bilingual education|Multicultural education,MERC-UOG publications,Teacher’s resource book,The Chuukese child – A teacher's resource,Ewe Semiriitin Chuuk – Eei pwuk epwe ánisi ekkewe sense reen aar repwe aninnisééch ngeni ekkewe semiriit reen aar káé,,,,UOG-CHILD,,1992,"William, Alvios|Prasad, Usha","Spencer, Mary",Edited by,,,,,,University of Guam,Multicultural Education and Resource Center,33,Chuukese,chk,English,eng,,Chuuk State,,,,,,,,"This is a multicultural education guide produced by the University of Guam to help non-indigenous teachers understand the cultural, social, and linguistic contexts of Chuukese children. It combines cultural background, classroom guidance, and extensive English and Chuukese language examples to promote culturally responsive teaching and respect for Chuukese values and learning styles.",,Y,MERC-UOG - William and Prasad 1992 - The Chuukese child - A teacher's resource,MERC-UOG - William and Prasad 1992 - The Chuukese child - A teacher's resource,PDF created by iREi (2025). Digitized from a hard copy courtesy of the University of Guam Library. Scanning conducted by Koh Ming Wei in Guam in March 2025.,,,,,,,,,,,,,,,,,,,
1299,Knowledge expansion,Language arts and culture,Reference,Bibliographic reference,Bibliographies,Bilingual education|Multicultural education,MERC-UOG publications,Bibliography,An Annotated Bibliography on ESL and Bilingual Education in Guam and Other Areas of Micronesia,,,,,,,1988,"Goetzfridt, Nicholas",,,,,,,,University of Guam,Multicultural Education and Resource Center,112,English,eng,,,,,,,,,,,,,,Y,Goetzfridt 1988 An Annotated Bibliography on ESL and Bilingual Education in Guam and Other Areas of Micronesia,Goetzfridt 1988 An Annotated Bibliography on ESL and Bilingual Education in Guam and Other Areas of Micronesia,,,,,,,,,,,,,,,,,,,,
1300,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 1 No 1,01.Oct.93,,,,,,1993,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 1 No 1 - 01Oct1993,Nahlikend en Leng Vol 1 No 1 - 01Oct1993,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1301,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 1 No 2,17.Jan.94,,,,,,1994,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 1 No 2 - 17Jan1994,Nahlikend en Leng Vol 1 No 2 - 17Jan1994,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1302,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 1 No 3,24.Apr.94,,,,,,1994,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 1 No 3 - 15Apr1994,Nahlikend en Leng Vol 1 No 3 - 15Apr1994,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1303,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 1 No 4,25.Jul.94,,,,,,1994,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 1 No 4 - 25Jul1994,Nahlikend en Leng Vol 1 No 4 - 25Jul1994,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1304,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 2 No 1,15.Nov.94,,,,,,1994,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 2 No 1 - 15Nov1994,Nahlikend en Leng Vol 2 No 1 - 15Nov1994,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1305,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 2 No 2,Winter 1995,,,,,,1995,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 2 No 2 - Winter1995,Nahlikend en Leng Vol 2 No 2 - Winter1995,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1306,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 2 No 3,Spring 1995,,,,,,1995,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 2 No 3 - Spring1995,Nahlikend en Leng Vol 2 No 3 - Spring1995,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1307,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 3 No 1,Autumn 1995,,,,,,1995,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 3 No 1 - Autumn1995,Nahlikend en Leng Vol 3 No 1 - Autumn1995,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1308,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 3 No 2,Winter 1995,,,,,,1995,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 3 No 2 - Winter1995,Nahlikend en Leng Vol 3 No 2 - Winter1995,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1309,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 3 No 3,Spring1996,,,,,,1996,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 3 No 3 - Spring1996,Nahlikend en Leng Vol 3 No 3 - Spring1996,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1310,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 3 No 4,Summer 1996,,,,,,1996,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 3 No 4 - Summer1996,Nahlikend en Leng Vol 3 No 4 - Summer1996,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
